Company - ,"RELMADA THERAPEUTICS, INC."

Nominee,For,Withheld,Broker    Non-Votes,Total Votes,For %,Against %,URL
Leslie V. Norwalk,8008186,4112223,912,1071950,13193271,--,--,https://www.sec.gov/Archives/edgar/data/1220754/000122075424000045/prsc-20240611.htm
Rahul Samant,8597063,3523302,956,1071950,13193271,--,--,https://www.sec.gov/Archives/edgar/data/1220754/000122075424000045/prsc-20240611.htm
L. Health Sampson,11926159,194314,848,1071950,13193271,--,--,https://www.sec.gov/Archives/edgar/data/1220754/000122075424000045/prsc-20240611.htm

Company - ,"Cidara Therapeutics, Inc."

Votes For,Votes Withheld,Broker Non-Votes,Total Votes,For %,Against %,URL,
Carin Canale-Theakston,2243061,100665,3697258,--,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm
James Merson Ph.D.,2247381,96345,3697258,--,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm
Chrysa Mineo,2230247,113479,3697258,--,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,2357192,392875,39413,—,2789480,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,1259652,166995,9301,1353532,2789480,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,2072549,264206,6971,1353532,3697258,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,3501365,63475,132418,—,3697258,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,2174835,155452,13439,1353532,3697258,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm

Nominee,Votes For,Votes Against,Abstentions,Broker Non-Votes,Total Votes,For %,Against %,URL
--,3333867,329610,33781,—,3697258,--,--,https://www.sec.gov/Archives/edgar/data/1610618/000161061824000091/cdtx-20240718.htm

Company - ,"electroCore, Inc."

NOMINEE,FOR (#),AGAINST (#),FOR (%),AGAINST (%),BROKER NON-VOTES,Total Votes,For %,Against %,URL
John P. Gandolfo,1822264,34608,96.05%,1.82%,1469414,3326286,--,--,https://www.sec.gov/Archives/edgar/data/1560258/000119380524001098/e663875_8k-electrocore.htm
Charles S. Theofilos M.D,1839298,28998,96.95%,1.53%,1469414,3337710,--,--,https://www.sec.gov/Archives/edgar/data/1560258/000119380524001098/e663875_8k-electrocore.htm

Nominee,FOR,AGAINST,ABSTAIN,BROKERNON-VOTES,Total Votes,For %,Against %,URL
--,3279990,33819,52866,n/a,3366675,--,--,https://www.sec.gov/Archives/edgar/data/1560258/000119380524001098/e663875_8k-electrocore.htm

Nominee,FOR,AGAINST,ABSTAIN,BROKERNON-VOTES,Total Votes,For %,Against %,URL
--,1527076,328210,41975,1469414,3366675,--,--,https://www.sec.gov/Archives/edgar/data/1560258/000119380524001098/e663875_8k-electrocore.htm

1 YEAR,For %,Against %,2 YEARS,3 YEARS,ABSTAIN,BROKER NON-VOTES,Total Votes,URL
1499911,--,--,85159,286527,25664,1469414,3366675,https://www.sec.gov/Archives/edgar/data/1560258/000119380524001098/e663875_8k-electrocore.htm

Company - ,INNOVATE CORP.

Director Name,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
Avram A. Glazer,56081412,2133336,2669579,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm
Warren H. Gfeller,57244535,908388,2731404,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm
Brian S. Goldstein,57162965,935058,2786304,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm
Amy M. Wilkinson,57380247,718303,2785777,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,55982851,1817694,3083782,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,56017052,4297571,569704,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,58329834,9613140,536833,0,68479807,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,63075184,9613140,536833,0,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,69492409,3616259,116489,0,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,59386238,1186960,311129,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,58947700,1072039,864588,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,58981160,1863954,39213,12340830,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Nominee,For,Against,Abstain,Broker Non-Votes,Total Votes,For %,Against %,URL
--,70756117,2351000,118040,0,73225157,--,--,https://www.sec.gov/Archives/edgar/data/1006837/000100683724000103/hchc-20240618.htm

Company - ,Google

